"applications","connections","day","year","isoWeek","isoYear","isoYearIsoWeek","jobApplicationCandidateIds","month","pageviews","sessions","uniquePageviews"
5,0,19,2024,3,,20243,"[43004888,25890516,67678272,67658880,53495249]",1,42,29,
3,0,20,2024,3,,20243,"[64795122,61123705,67707087]",1,17,11,
7,0,21,2024,3,,20243,"[67768150,67770172,67741230,67749090,67759094,67780432,67770991]",1,38,24,
10,0,22,2024,4,,20244,"[67441833,67801348,67816107,67814812,67845907,52320866]",1,99,61,
8,0,23,2024,4,,20244,"[67943429,28116096,39021115,31095505,51893061,67969691,24363776,67981738]",1,52,32,
9,0,24,2024,4,,20244,"[49390769,68061529,68065239,68111245,19625757,68034403,68011255,68094565]",1,92,61,
10,0,25,2024,4,,20244,"[13130160,68223772,68257178,48020482,35168091,68145434,68250706,68187896,68250147,61298118]",1,116,85,
10,0,26,2024,4,,20244,"[68295438,29753714,68337080,68337113,68320907,68352199,68323000,51882651,68334019,49573816]",1,73,52,
2,0,27,2024,4,,20244,"[35528926,36531695]",1,22,14,
3,0,28,2024,4,,20244,"[68558593,68539872,45618171]",1,19,16,
19,0,29,2024,5,,20245,"[68634351,68573368,68576628,68598614,48693560,68568416,68590309,68655601,55233863,221,68644655,68586621,59451115,68655661,52197157,58392903,68655968,14038168,68584235]",1,97,56,
8,0,30,2024,5,,20245,"[14999734,68721998,68739012,56279809,47601339,68714985,57917160,68773547]",1,61,42,
18,0,31,2024,5,,20245,"[68890710,68901070,68818312,41053286,68866798,68896715,68840634,68814974,68888469,47921381,24537153,35003240,68789975,65369615,68785806,68834166,68804678,55652913]",1,109,57,
14,0,1,2024,5,,20245,"[68920438,68997278,50719090,68910533,28279026,35953495,68952488,68948647,68986191,68978423]",2,93,50,
3,0,2,2024,5,,20245,"[69111663,52450775,69134172]",2,29,17,
4,0,3,2024,5,,20245,"[69174044,59010502,69177661,69171584]",2,19,13,
1,0,4,2024,5,,20245,"[69235868]",2,14,11,
9,0,5,2024,6,,20246,"[69292957,69345705,69298034,69351029,69325899,69263611,69305116,37620489,69325417]",2,76,42,
11,0,6,2024,6,,20246,"[69479591,69367422,69345705,69411907,69458771,69395053,69399128,69418189,69456543,69447432,63597240]",2,163,89,
18,0,7,2024,6,,20246,"[41877564,61652339,69518451,56286417,69521202,32721141,24363776,69518438,69507593,69606604,69599785,69598281,69607437,69617949,69541693,69608016]",2,143,76,
7,0,8,2024,6,,20246,"[69728160,69730382,69673655,69682641,48903087,69674848]",2,56,33,
7,0,9,2024,6,,20246,"[69814581,51102833,34506857,69829500,69837388,64053576,69772190]",2,62,36,
6,0,10,2024,6,,20246,"[69880901,37620489,42531713,69867712,69863317]",2,27,14,
4,0,11,2024,6,,20246,"[69910378,69927103,69894049,69900400]",2,31,20,
8,0,12,2024,7,,20247,"[69953462,64769523,69945426,69937431,69957855,65843662]",2,74,50,
5,0,13,2024,7,,20247,"[41877564,70246833,70160617,70088973,70362463]",2,47,26,
11,0,14,2024,7,,20247,"[46736288,70397271,70400517,70390969,70406325,70468008,70390952,70440432,70473148,70453353,70391351]",2,141,85,
14,0,15,2024,7,,20247,"[70507635,70495977,70555809,70559478,51436457,70504723,70592684,63930744,70574813,70501752,70502160,70504122,70503022,12211787]",2,93,60,
