"applications","connections","day","year","isoWeek","isoYear","isoYearIsoWeek","jobApplicationCandidateIds","month","pageviews","sessions","uniquePageviews"
1,0,15,2021,15,,202115,"[""13662543""]",4,2,1,
3,0,13,2022,19,,202219,"[""15482804"",""28433831"",""28412625""]",5,8,5,
1,0,31,2022,22,,202222,"[""29232657""]",5,19,6,
1,0,27,2021,30,,202130,"[""14958618""]",7,2,0,
0,0,13,2021,41,,202141,"[]",10,2,1,
1,0,9,2022,27,,202227,"[""30858764""]",7,2,2,
1,0,29,2021,26,,202126,"[""15547543""]",6,2,0,
1,0,7,2022,23,,202223,"[""29516746""]",6,1,1,
1,0,20,2022,20,,202220,"[""28756622""]",5,9,8,
0,0,8,2021,14,,202114,"[]",4,1,0,
7,0,9,2022,6,,20226,"[""24470002"",""21345135"",""24637187"",""24569138"",""20431556"",""15280474"",""24621700""]",2,31,14,
1,0,6,2021,27,,202127,"[""15712861""]",7,1,0,
0,0,6,2022,9,,20229,"[]",3,2,0,
0,0,2,2022,26,,202226,"[]",7,1,1,
6,0,11,2022,15,,202215,"[""2684597"",""27238369"",""27234135"",""27262685"",""27224165"",""27227050""]",4,24,5,
1,0,25,2021,12,,202112,"[""10952187""]",3,1,0,
2,0,4,2022,14,,202214,"[""26720089"",""26098794""]",4,3,2,
2,0,29,2022,17,,202217,"[""27907031"",""25831418""]",4,2,1,
2,0,17,2021,33,,202133,"[""11802717"",""16818326""]",8,1,0,
2,0,14,2022,24,,202224,"[""29829613"",""29840399""]",6,6,3,
1,0,6,2021,40,,202140,"[""10556530""]",10,1,0,
1,0,17,2021,20,,202120,"[""14567958""]",5,2,1,
2,0,19,2022,3,,20223,"[""13085143"",""23768175""]",1,12,4,
2,0,3,2021,18,,202118,"[""14155337"",""14157462""]",5,1,1,
1,0,7,2021,44,,202144,"[""19600452""]",11,2,0,
1,0,28,2022,13,,202213,"[""26600799""]",3,13,6,
1,0,1,2021,13,,202113,"[""10187976""]",4,6,2,
0,0,26,2021,17,,202117,"[]",4,2,1,
0,0,21,2022,25,,202225,"[]",6,1,1,
0,0,6,2022,18,,202218,"[]",5,1,1,
0,0,22,2021,51,,202151,"[]",12,10,2,
0,0,11,2021,14,,202114,"[]",4,2,2,
1,0,31,2021,22,,202122,"[""14919266""]",5,2,0,
2,0,27,2022,21,,202221,"[""29035073"",""27129728""]",5,5,4,
1,0,9,2022,19,,202219,"[""28248948""]",5,2,1,
3,0,5,2022,27,,202227,"[""29907399"",""30699311"",""30663945""]",7,7,5,
1,0,14,2022,15,,202215,"[""27378326""]",4,7,5,
5,0,17,2022,11,,202211,"[""3771429"",""6156926"",""56616"",""3047865"",""26143804""]",3,47,30,
2,0,16,2022,20,,202220,"[""11741017"",""28520425""]",5,3,3,
1,0,1,2021,35,,202135,"[""12829896""]",9,1,0,
2,0,3,2022,22,,202222,"[""29373841"",""19759362""]",6,10,8,
1,0,24,2021,21,,202121,"[""14732695""]",5,1,0,
2,0,13,2022,6,,20226,"[""24813647"",""494469""]",2,6,2,
3,0,4,2021,13,,202113,"[""13382892"",""13380043"",""12909041""]",4,7,3,
3,0,29,2021,52,,202152,"[""15315408"",""22027405"",""22001418""]",12,5,4,
3,0,10,2022,10,,202210,"[""25831418"",""25827160"",""25853084""]",3,1,0,
1,0,7,2021,23,,202123,"[""15092740""]",6,1,0,
2,0,3,2022,9,,20229,"[""15544722"",""3145317""]",3,16,3,
1,0,4,2021,44,,202144,"[""19685513""]",11,1,0,
3,0,13,2021,28,,202128,"[""15336142"",""15933691"",""15947456""]",7,4,0,
2,0,10,2022,23,,202223,"[""29725382"",""29726173""]",6,2,2,
1,0,25,2022,17,,202217,"[""27725755""]",4,7,2,
0,0,29,2021,17,,202117,"[]",4,3,2,
2,0,5,2022,1,,20221,"[""21474183"",""21473468""]",1,8,4,
2,0,23,2022,3,,20223,"[""23926931"",""23915275""]",1,13,3,
3,0,24,2022,12,,202212,"[""26478042"",""26467150"",""26409894""]",3,13,3,
2,0,24,2022,8,,20228,"[""24950445"",""10416949""]",2,4,2,
2,0,14,2021,24,,202124,"[""10621838"",""15244465""]",6,2,0,
1,0,4,2021,48,,202148,"[""21068699""]",12,3,0,
0,0,28,2021,12,,202112,"[]",3,1,0,
1,0,6,2021,18,,202118,"[""14305731""]",5,1,0,
0,0,12,2022,2,,20222,"[]",1,1,1,
7,0,2,2022,18,,202218,"[""27999196"",""3668456"",""19002951"",""28003110"",""3444206"",""27978896"",""27966877""]",5,15,7,
1,0,17,2022,24,,202224,"[""29954837""]",6,6,4,
1,0,17,2022,7,,20227,"[""25004205""]",2,11,1,
2,0,21,2021,25,,202125,"[""15409095"",""15387871""]",6,1,0,
1,0,31,2021,13,,202113,"[""11544312""]",3,2,1,
1,0,19,2021,29,,202129,"[""12526444""]",7,3,0,
3,0,25,2022,12,,202212,"[""26526110"",""15482804"",""3412788""]",3,41,18,
1,0,5,2022,18,,202218,"[""16079390""]",5,9,2,
3,0,25,2022,4,,20224,"[""18012062"",""24003556"",""24018004""]",1,8,2,
4,0,11,2022,2,,20222,"[""11679238"",""23428802"",""23432560"",""23454284""]",1,7,2,
0,0,23,2021,16,,202116,"[]",4,2,1,
3,0,10,2021,49,,202149,"[""16079390"",""21323063"",""19861547""]",12,6,0,
3,0,12,2021,23,,202123,"[""15210547"",""15212207"",""15214202""]",6,2,1,
2,0,2,2021,17,,202117,"[""14118467"",""10582016""]",5,6,2,
1,0,2,2022,52,,202152,"[""23097805""]",1,8,1,
1,0,20,2021,20,,202120,"[""10681751""]",5,1,0,
2,0,16,2022,2,,20222,"[""23632888"",""12309533""]",1,22,7,
2,0,15,2022,24,,202224,"[""29887974"",""29871128""]",6,4,2,
1,0,26,2022,17,,202217,"[""644231""]",4,11,2,
1,0,20,2021,33,,202133,"[""2920339""]",8,1,0,
1,0,25,2021,21,,202121,"[""842575""]",5,1,0,
2,0,12,2022,6,,20226,"[""24746717"",""24782380""]",2,10,3,
1,0,24,2021,51,,202151,"[""1792737""]",12,3,0,
